"region","Branch_ID","center_id","center_name","loan_id","customer_id","Partner_BankID","Collected_By","Collection_Date","Collection_Status","Seq_Num","Collected_Amount","Waive_Off_Amount","principal_amt","interest_amt","paid_by","Collection_Type","Pay_Mode","source","Receipt_Number","Write_Off","Attendance","PreClosure_Reason","PreClosure_Fund_Source","modified_by","modified_on"
"135-Varanasi","107-Shivpur","6951","nai-bazar paterawa_6951","538915","63649","Bank of Baroda-12837","SF00467-Vineet Pandey","2025-02-11","Completed","43","21557","0","21479","78","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF01088-Shivam Kumar Pandey","2025-02-11 07:12:05.033"
"135-Varanasi","107-Shivpur","3711","tadiya-kotwan_3711","506258","36212","Baroda Uttar Pradesh Gramin Bank-4936","SF00124-Sanjay kumar mishra","2024-11-22","Completed","43","10230","0","10230","0","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00088-Himank Tiwari","2024-11-22 09:30:27.808"
"135-Varanasi","107-Shivpur","5930","chiarigaon_5930","527723","54744","State Bank of India-9958","SF00123-Vijay Singh","2024-11-05","Completed","33","26047","0","25915","132","not paid","PreClosure","None","app","0","0","Absent","NA","NA","SF00088-Himank Tiwari","2024-11-05 11:23:26.012"
"135-Varanasi","107-Shivpur","3733","isipur_3733","510993","40534","Union Bank of India-6015","SF00467-Vineet Pandey","2025-01-16","Completed","49","19077","0","19063","14","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF01088-Shivam Kumar Pandey","2025-01-16 06:09:45.879"
"135-Varanasi","107-Shivpur","3855","ayar_3855","507587","37483","Baroda Uttar Pradesh Gramin Bank-5195","SF00124-Sanjay kumar mishra","2024-12-10","Completed","45","14906","0","14863","43","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF01088-Shivam Kumar Pandey","2024-12-10 06:52:24.956"
"135-Varanasi","107-Shivpur","4051","sirsa-_4051","591961","48623","Bank of Baroda-8025","SF00124-Sanjay kumar mishra","2024-12-07","Completed","20","31660","0","31637","23","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF01088-Shivam Kumar Pandey","2024-12-07 02:37:45.027"
"135-Varanasi","107-Shivpur","3173","sarswan_3173","537449","62481","Bank of Baroda-12339","SF00088-Himank Tiwari","2024-08-02","Completed","17","35878","0","35697","181","not paid","PreClosure","None","app","0","0","Absent","NA","NA","SF00088-Himank Tiwari","2024-08-02 04:49:28.763"
"135-Varanasi","107-Shivpur","6949","chhanhi_6949","537951","62883","Union Bank of India-12513","SF00467-Vineet Pandey","2025-01-23","Completed","42","21954","0","21922","32","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF01088-Shivam Kumar Pandey","2025-01-23 06:53:00.957"
