"region","Branch_ID","center_id","center_name","loan_id","customer_id","Partner_BankID","Collected_By","Collection_Date","Collection_Status","Seq_Num","Collected_Amount","Waive_Off_Amount","principal_amt","interest_amt","paid_by","Collection_Type","Pay_Mode","source","Receipt_Number","Write_Off","Attendance","PreClosure_Reason","PreClosure_Fund_Source","modified_by","modified_on"
"4-Darbhanga","151-Kanti","9734","bishunpur-mahanand_9734","569190","88807","Indian Overseas Bank-22000","SF00710-Shiv Kumar","2024-12-11","Completed","26","30507","0","30485","22","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF01415-Vikas Yadav","2024-12-11 08:06:59.629"
"2-Mathura","117-Tundla","4236","tundli_4236","511711","41171","Canara Bank-6204","SF00507-Pavan Kumar","2024-09-23","Completed","32","31668","0","31668","0","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00727-Sateesh Kumar","2024-09-23 08:29:58.683"
"4-Darbhanga","116-Phulparas","7669","sub-tol_7669","563161","83648","State Bank of India-20157","SF00730-Ranveer Kumar","2025-01-29","Completed","34","26494","0","26475","19","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF01242-Atul Kumar","2025-01-29 11:05:11.745"
"2-Mathura","159-Fatehabad","10363","savora_10363","584064","101490","Gramin Bank of Aryavart-26439","SF00625-Aman Chauhan","2025-02-05","Completed","29","29093","0","28967","126","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00725-Krishna Pratap Singh Rajput","2025-02-05 10:49:24.783"
"1-Ayodhya","111-Gorakhpur","11038","lachhipur_11038","582576","100238","Indian Bank-26345","SF00128-Kripa Nidhan Pandey","2024-08-13","Completed","4","44001","0","43874","127","Group","PreClosure","Cash","app","0","0","Absent","NA","NA","SF00021-Pramod Kumar ","2024-08-13 07:52:39.831"
"37-Amargol Hubli","158-Kittur","7427","mkhubli_7427","543961","67578","Karnataka Vikas Grameena Bank-16055","SF01055-Mahesh Byali","2024-11-22","Completed","29","33501","0","33477","24","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00500-Vinod S Dastikoppa","2024-11-22 08:03:34.294"
"2-Mathura","185-Kasganj","18637","paisoi_18637","655738","157847","Bank of Baroda-48250","SF00035-Lakhan Singh ","2025-02-14","Completed","12","43210","0","43147","63","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00035-Lakhan Singh ","2025-02-14 10:44:01.095"
"2-Mathura","145-Kiraoli","10861","prathvi-nath nai abadi shahagang_10861","583073","100665","Indusind Bank-26140","SF01021-Aman Tomar","2024-10-18","Completed","15","41409","0","41409","0","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF01418-Vikram Singh Choudhary","2024-10-18 08:14:16.461"
"3-Kalaburgi","115-Bijapur","6114","raheem-nagar _6114","530365","56883","Karnataka Vikas Grameena Bank-10555","","2024-08-26","Completed","26","49400","0","49400","0","","Death-PreClosure","","app","0","0","Absent","NA","NA","SFIN001-SREFINCREDIT-USER",""
"3-Kalaburgi","120-Kamalapur","12433","dinshikurnur_12433","598768","113693","Canara Bank-31051","SF01168-Abhishek","2024-11-13","Completed","16","16912","0","16912","0","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF01038-Siddappa","2024-11-13 06:06:20.208"
"4-Darbhanga","155-Samastipur","6591","manwara_6591","533702","59607","Central Bank of India-11634","SF01158-Dharam Kumar","2025-01-27","Completed","43","24799","0","24709","90","Self","PreClosure","Cash","app","0","0","Absent","NA","NA","SF00580-Vikki Kumar","2025-01-27 14:33:45.308"
"3-Kalaburgi","114-Yadgir","9526","aadilpura-area shahapura_9526","567727","87535","State Bank of India-21580","SF00811-Washim Lalsab Deginal","2024-09-20","Completed","14","18041","0","18028","13","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF01038-Siddappa","2024-09-20 06:01:46.135"
"3-Kalaburgi","114-Yadgir","9526","aadilpura-area shahapura_9526","566547","86559","India Post Payments Bank-21650","SF00811-Washim Lalsab Deginal","2024-09-20","Completed","14","42151","0","42120","31","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF01038-Siddappa","2024-09-20 05:59:52.820"
"1-Ayodhya","113-Chauri Chaura","4366","barahara_4366","518555","47113","Canara Bank-7729","SF01290-Saukhlal Kumar Gautam","2024-10-22","Completed","34","30217","0","30195","22","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00101-Krishn Kant Ray","2024-10-22 07:11:13.800"
"3-Kalaburgi","167-Jamkhandi","8683","hunnur_8683","561869","82547","Karnataka Bank-19835","SF00310-Sangamesh Kalavvagol","2025-02-01","Completed","35","29726","0","29704","22","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00310-Sangamesh Kalavvagol","2025-02-01 05:10:32.750"
"4-Darbhanga","148-Sahebganj","7320","madhopur-hazari_7320","552774","71428","Central Bank of India-16017","SF01502-Vishal Kumar","2024-12-26","Completed","33","26860","0","26860","0","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00454-Birendra kumar","2024-12-26 08:55:46.337"
"4-Darbhanga","153-Sitamarhi","5878","dharampur_5878","527887","54887","Bank of Baroda-10393","","2024-08-13","Completed","26","48953","0","48953","0","","Death-PreClosure","","app","0","0","Absent","NA","NA","",""
"3-Kalaburgi","115-Bijapur","10927","ward-no 16 yogapur _10927","581206","99079","State Bank of India-25659","","2024-12-02","Completed","21","26136","0","26136","0","","Death-PreClosure","","app","0","0","Absent","NA","NA","",""
"1-Ayodhya","113-Chauri Chaura","3104","chauri-chaura_3104","525941","31704","Baroda Uttar Pradesh Gramin Bank-4293","SF00125-Vishal kumar maddheshiya","2024-07-24","Completed","18","39868","0","39839","29","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00101-Krishn Kant Ray","2024-07-24 10:03:00.426"
"37-Amargol Hubli","130-Belagavi","9753","kakati_9753","569404","88982","Union Bank of India-22100","SF01309-UMESH SHINGE","2025-01-06","Completed","29","29037","0","28932","105","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00474-Appayya Malleshi Hudali","2025-01-06 09:54:39.469"
"3-Kalaburgi","140-Chitguppa","5617","shamtabad-2_5617","528120","55060","Canara Bank-9989","SF00482-Abhijeet Melkeri","2024-08-16","Completed","21","7915","0","7915","0","Self","PreClosure","Cash","app","0","0","Absent","NA","NA","SF01169-Basavaraj","2024-08-16 07:36:26.759"
"4-Darbhanga","116-Phulparas","7340","mansapur-dhatatol_7340","542879","66721","Indian Bank-14138","SF00730-Ranveer Kumar","2024-11-16","Completed","30","22670","0","22621","49","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF01242-Atul Kumar","2024-11-16 07:20:41.854"
"37-Amargol Hubli","130-Belagavi","10163","rukmini-nagar _10163","601576","115966","Union Bank of India-32032","SF01309-UMESH SHINGE","2025-01-16","Completed","24","20751","0","20751","0","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00474-Appayya Malleshi Hudali","2025-01-16 09:37:19.888"
"2-Mathura","145-Kiraoli","6108","kukathala_6108","529639","56293","Central Bank of India-10797","SF00705-Vishnu Singh","2024-09-24","Completed","27","34423","0","34423","0","Self","PreClosure","Cash","app","0","0","Absent","NA","NA","SF01418-Vikram Singh Choudhary","2024-09-24 07:19:15.007"
"2-Mathura","145-Kiraoli","5190","abhaudopura_5190","533106","59149","Airtel Payments Bank-11479","SF00610-Ravindra Singh","2024-11-07","Completed","32","31589","0","31543","46","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF01418-Vikram Singh Choudhary","2024-11-07 08:23:35.763"
"4-Darbhanga","112-Sakri","3218","mohan-badhiyam_3218","502617","32656","State Bank of India-4046","SF00613-Deepak Kumar","2024-07-02","Completed","24","36508","0","36350","158","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00580-Vikki Kumar","2024-07-02 08:09:48.433"
"3-Kalaburgi","108-Kalaburgi","5228","sundar-nagar_5228","520601","48880","Bank of Baroda-8469","SF00718-Syed Mustafa Hussaini","2024-12-09","Completed","39","23807","0","23807","0","Self","PreClosure","Cash","app","0","0","Absent","NA","NA","SF00236-Mastan","2024-12-09 13:27:15.241"
"3-Kalaburgi","115-Bijapur","3944","k-g n nagar bijapur _3944","507945","37807","Karnataka Vikas Grameena Bank-5400","SF01130-Mohammadazaruddin H Halli","2024-12-19","Completed","45","23519","0","23417","102","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00351-Umesh jadar","2024-12-19 07:40:42.959"
"4-Darbhanga","112-Sakri","3395","kharrakh_3395","507869","34036","Uttar Bihar Gramin Bank-5552","SF00097-Mukund Kumar","2024-03-18","Completed","6","40432","0","40257","175","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00059-Sachin Kumar Jha","2024-03-18 07:16:42.834"
"1-Ayodhya","111-Gorakhpur","4644","budhiyabari_4644","540296","64705","State Bank of India-13350","SF00277-Pankaj Upadhyay","2025-02-19","Completed","44","24807","0","24575","232","not paid","PreClosure","None","app","0","0","Absent","NA","NA","SF01381-Pradeep Kumar Ram","2025-02-19 07:56:56.951"
"1-Ayodhya","111-Gorakhpur","7397","bhitirawat_7397","543874","67517","Punjab National Bank-14397","SF00277-Pankaj Upadhyay","2024-12-26","Completed","35","25996","0","25940","56","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF01381-Pradeep Kumar Ram","2024-12-26 08:41:42.469"
"4-Darbhanga","131-Benipur","7303","kathra_7303","543977","67591","Indusind Bank-14521","","2024-12-18","Completed","37","36190","0","36190","0","","Death-PreClosure","","app","0","0","Absent","NA","NA","",""
"3-Kalaburgi","165-Hungund","9787","ilkal-alampur pet_9787","569781","89317","Karnataka Vikas Grameena Bank-22302","SF00721-Ramesh Nagaralli","2024-12-10","Completed","25","7410","0","7389","21","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00721-Ramesh Nagaralli","2024-12-10 05:45:22.506"
"4-Darbhanga","151-Kanti","8593","kushi- harpur_8593","557634","78883","INDIAN OVERSEAS BANK-19547","SF00710-Shiv Kumar","2025-01-18","Completed","33","7667","0","7645","22","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF01415-Vikas Yadav","2025-01-18 07:22:08.365"
"3-Kalaburgi","120-Kamalapur","7229","beloor-k_7229","585115","102366","Canara Bank-26787","SF01010-Sunil","2024-10-03","Completed","12","8966","0","8966","0","Self","PreClosure","Cash","app","0","0","Absent","NA","NA","SF01169-Basavaraj","2024-10-03 09:36:35.379"
"135-Varanasi","189-Talbehat","12544","chauvyana-mohalla_12544","657308","158987","State Bank of India-48764","SF01535-Pushpendra Rajpoot","2024-12-09","Completed","2","39221","0","39136","85","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00232-Aditya Pratap Singh","2024-12-09 13:06:08.205"
"4-Darbhanga","178-Simrahi","16723","hatatola_16723","632070","140123","Bank of India-41531","SF01355-Raman Kumar Mahato","2024-10-14","Completed","1","39469","0","39469","0","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF01403-Dharmendra kumar","2024-10-14 07:59:19.979"
"3-Kalaburgi","140-Chitguppa","11903","allura_11903","591643","107889","Indusind Bank-28941","SF00482-Abhijeet Melkeri","2025-01-06","Completed","24","29774","0","29645","129","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00514-Ashok","2025-01-06 07:37:17.806"
"2-Mathura","118-Aligarh","8460","baharampur_8460","556810","78191","Gramin Bank of Aryavart-18290","SF00121-Rahul","2024-11-21","Completed","26","34776","0","34726","50","Self","PreClosure","Cash","app","0","0","Absent","NA","NA","SF01305-SACHIN CHAUDHARY","2024-11-21 13:49:58.348"
"4-Darbhanga","116-Phulparas","10971","sijaulia_10971","661711","162333","State Bank of India-50402","SF00730-Ranveer Kumar","2025-01-31","Completed","8","27723","0","27683","40","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF01242-Atul Kumar","2025-01-31 08:05:55.717"
"37-Amargol Hubli","158-Kittur","7427","mkhubli_7427","548917","71554","Karnataka Vikas Grameena Bank-16057","SF00500-Vinod S Dastikoppa","2025-01-23","Completed","38","25023","0","24896","127","Self","PreClosure","Cash","app","0","0","Absent","NA","NA","SF00500-Vinod S Dastikoppa","2025-01-23 09:39:27.877"
"2-Mathura","117-Tundla","6889","etmadpur_6889","580131","98207","Punjab National Bank-26477","SF00197-Navneet Singh","2024-09-10","Completed","9","34946","0","34845","101","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00727-Sateesh Kumar","2024-09-10 09:42:40.069"
"3-Kalaburgi","115-Bijapur","4854","babaleshwar-naka_4854","517762","46457","Karnataka Vikas Grameena Bank-7531","SF01069-Bheerappa Sangogi","2025-01-15","Completed","46","19710","0","19710","0","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00351-Umesh jadar","2025-01-15 10:47:49.130"
"3-Kalaburgi","114-Yadgir","3781","shanti-nagar _3781","506378","36313","Canara Bank-5385","SF00908-Shankargouda","2024-11-08","Completed","40","26529","0","26491","38","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00593-Anjaneya Laxmi","2024-11-08 07:33:36.673"
"4-Darbhanga","179-Dhamdaha","18105","nirpur_18105","657513","157559","Punjab National Bank-48123","SF01599-Aamir Rajak","2025-01-27","Completed","9","16900","0","16863","37","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00785-Ashok Bharti","2025-01-27 09:21:10.816"
"4-Darbhanga","112-Sakri","3936","ramdhari-tol_3936","507874","37744","State Bank of India-5468","SF01332-Ranjeet Yadav","2024-12-26","Completed","47","22007","0","21975","32","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00580-Vikki Kumar","2024-12-26 13:48:53.297"
