"region","Branch_ID","center_id","center_name","loan_id","customer_id","Partner_BankID","Collected_By","Collection_Date","Collection_Status","Seq_Num","Collected_Amount","Waive_Off_Amount","principal_amt","interest_amt","paid_by","Collection_Type","Pay_Mode","source","Receipt_Number","Write_Off","Attendance","PreClosure_Reason","PreClosure_Fund_Source","modified_by","modified_on"
"1-Ayodhya","125-Captainganj","4788","dubai-kusumha_4788","577007","91552","Baroda Uttar Pradesh Gramin Bank-23040","SF01406-Istkhar Ahmad","2025-02-05","Completed","32","27175","0","26904","271","not paid","PreClosure","None","app","0","0","Absent","NA","NA","SF01406-Istkhar Ahmad","2025-02-05 07:35:32.740"
"37-Amargol Hubli","121-Haveri","6475","maranabeed_6475","532298","58508","Karnataka Vikas Grameena Bank-11713","SF01485-Hanumantappa Siddappa Kuppeluru","2024-11-18","Completed","33","7195","0","7174","21","Self","PreClosure","Cash","app","0","0","Absent","NA","NA","SF01190-Gangadhar Malakashetti","2024-11-18 07:13:51.452"
"4-Darbhanga","131-Benipur","11968","-bazidpur _11968","597369","112580","Bank of India-30674","SF00645-Manohar Kumar","2024-12-27","Completed","22","33260","0","33092","168","not paid","PreClosure","None","app","0","0","Absent","NA","NA","SF00059-Sachin Kumar Jha","2024-12-27 09:05:41.635"
"37-Amargol Hubli","121-Haveri","6254","byadgi_6254","563656","70375","Union Bank of India-20469","SF00476-Punith Doddamani","2025-01-23","Completed","33","30875","0","30808","67","Self","PreClosure","Cash","app","0","0","Absent","NA","NA","SF01190-Gangadhar Malakashetti","2025-01-23 10:39:15.837"
"135-Varanasi","197-Madhogarh","19048","sirsadogarhi_19048","661243","161987","Indian Bank-50185","","2024-11-30","Completed","","29543","0","29500","43","","PreClosure","","app","0","0","Absent","NA","NA","SF01383-Shivam Kumar Dubey","2024-11-30 09:38:25.836"
"3-Kalaburgi","140-Chitguppa","9280","nandgaon-3_9280","568300","85561","State Bank of India-21747","","2024-12-05","Completed","27","16443","0","16443","0","","Death-PreClosure","","app","0","0","Absent","NA","NA","",""
"3-Kalaburgi","167-Jamkhandi","11480","galagali-_11480","595548","111016","Canara Bank-30696","","2024-11-29","Completed","17","47527","0","47527","0","","Death-PreClosure","","app","0","0","Absent","NA","NA","",""
"3-Kalaburgi","114-Yadgir","12447","shahpur- ward no 22 ashray colony _12447","600620","115199","Bank of Baroda-31868","","2025-01-21","Completed","27","36949","0","36949","0","","Death-PreClosure","","app","0","0","Absent","NA","NA","",""
"3-Kalaburgi","167-Jamkhandi","13044","savalagi-_13044","604421","118186","Canara Bank-33204","SF01156-Bhirappa Khanappa Boragoud","2024-09-23","Completed","6","46569","0","46468","101","Self","PreClosure","Cash","app","0","0","Absent","NA","NA","SF00310-Sangamesh Kalavvagol","2024-09-23 07:51:00.904"
"1-Ayodhya","113-Chauri Chaura","5036","jungle-gaori no. 2_5036","518911","47463","null-7894","SF01148-Sangam Kumar Pandey","2024-11-28","Completed","37","28613","0","28592","21","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00101-Krishn Kant Ray","2024-11-28 07:59:23.111"
"37-Amargol Hubli","130-Belagavi","9753","kakati_9753","569434","89012","Union Bank of India-22095","SF01309-UMESH SHINGE","2024-12-31","Completed","28","33951","0","33828","123","Self","PreClosure","Cash","app","0","0","Absent","NA","NA","SF00474-Appayya Malleshi Hudali","2024-12-31 10:36:48.362"
"4-Darbhanga","171-Forbesganj","17186","dumriya-bhanghi _17186","635933","143082","UCO Bank-42590","SF01390-Manish Kumar","2024-12-31","Completed","11","35392","0","35238","154","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00084-Trilok Kumar Sah","2024-12-31 09:28:11.261"
"4-Darbhanga","116-Phulparas","7669","sub-tol_7669","563053","83566","State Bank of India-20156","SF00730-Ranveer Kumar","2025-01-29","Completed","34","30428","0","30406","22","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF01242-Atul Kumar","2025-01-29 10:55:16.818"
"37-Amargol Hubli","130-Belagavi","9753","kakati_9753","599520","114316","Union Bank of India-31316","SF01309-UMESH SHINGE","2025-01-16","Completed","24","31530","0","31507","23","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00474-Appayya Malleshi Hudali","2025-01-16 10:28:34.709"
"2-Mathura","117-Tundla","12438","narayan-nagar_12438","597207","112448","State Bank of India-30610","SF00507-Pavan Kumar","2024-11-08","Completed","15","41448","0","41448","0","Group","PreClosure","Cash","app","0","0","Absent","NA","NA","SF00727-Sateesh Kumar","2024-11-08 11:35:24.771"
"3-Kalaburgi","115-Bijapur","8519","afzalpur-takke_8519","638428","145002","Bank of Baroda-43228","SF01606-shivanand Balasaheb mededar","2025-01-21","Completed","14","33964","0","33939","25","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00351-Umesh jadar","2025-01-21 12:23:34.711"
"3-Kalaburgi","115-Bijapur","4334","kumbar-galli_4334","533535","59475","Indian Bank-11444","SF01130-Mohammadazaruddin H Halli","2024-12-26","Completed","39","24459","0","24317","142","not paid","PreClosure","None","app","0","0","Absent","NA","NA","SF00452-Sharanappa Rugi ","2024-12-26 06:22:14.718"
"3-Kalaburgi","115-Bijapur","7935","basav-nagar_7935","561835","82501","Karnataka Bank-24646","SF00498-Sangamesh Sadashiva Sangamesh","2024-11-28","Completed","22","32661","0","32590","71","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00452-Sharanappa Rugi ","2024-11-28 08:12:59.672"
"1-Ayodhya","113-Chauri Chaura","3104","chauri-chaura_3104","503467","33518","Central Bank of India-4300","SF00125-Vishal kumar maddheshiya","2024-07-24","Completed","24","29667","0","29645","22","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00101-Krishn Kant Ray","2024-07-24 11:34:44.683"
